        T             E               F          S             
     300.0     -62559.9288     -62560.0753  0.488475E-03
     873.0     -62559.9266     -62560.3574  0.493547E-03
    1273.0     -62559.9262     -62560.5549  0.493870E-03
    1673.0     -62559.9261     -62560.7525  0.493988E-03
  Infinite     -62559.9255         -        0.519481E-03
