
 ____________________________________________________________________________________________
 Temperature: T =    300.00000000000000      K
 Chemical potential: mu =   -750.43232038410406      eV
 Composition: x =   0.37499999998871775     

  n      m     omega(n,m)       E(n,m)          E-n*mu         prob(n,m,T)   prob(n,m,T)/omega    
  0      1        1           -61059.13561      -61059.13561    0.979507E-02    0.979507E-02
  1      1       16           -61809.52206      -61059.08974    0.265770E-01    0.166106E-02
  2      1       48           -62559.91747      -61059.05283    0.191269E-01    0.398477E-03
  2      2       24           -62559.92649      -61059.06185    0.135548E-01    0.564784E-03
  2      3       48           -62559.93679      -61059.07215    0.403728E-01    0.841099E-03
  3      1       48           -63310.31227      -61059.01531    0.447950E-02    0.933230E-04
  3      2       32           -63310.31342      -61059.01646    0.312290E-02    0.975907E-04
  3      3       96           -63310.32148      -61059.02452    0.127937E-01    0.133268E-03
  3      4      192           -63310.33108      -61059.03412    0.370980E-01    0.193219E-03
  3      5       96           -63310.33003      -61059.03306    0.178073E-01    0.185492E-03
  3      6       48           -63310.32923      -61059.03227    0.863467E-02    0.179889E-03
  3      7       32           -63310.36223      -61059.06527    0.206306E-01    0.644708E-03
  3      8       16           -63310.29084      -61058.99388    0.651956E-03    0.407472E-04
  4      1       12           -64060.69708      -61058.96779    0.178244E-03    0.148536E-04
  4      2      192           -64060.71656      -61058.98728    0.605993E-02    0.315621E-04
  4      3      192           -64060.71491      -61058.98562    0.568392E-02    0.296038E-04
  4      4       96           -64060.72606      -61058.99678    0.437570E-02    0.455802E-04
  4      5       24           -64060.72769      -61058.99841    0.116494E-02    0.485391E-04
  4      6       96           -64060.73540      -61059.00612    0.628062E-02    0.654231E-04
  4      7       48           -64060.73390      -61059.00462    0.296306E-02    0.617304E-04
  4      8       96           -64060.71444      -61058.98516    0.279151E-02    0.290783E-04
  4      9      192           -64060.73261      -61059.00333    0.112749E-01    0.587234E-04
  4     10       96           -64060.75440      -61059.02512    0.130934E-01    0.136390E-03
  4     11       96           -64060.75643      -61059.02715    0.141641E-01    0.147543E-03
  4     12       96           -64060.72217      -61058.99289    0.376442E-02    0.392127E-04
  4     13       96           -64060.69587      -61058.96659    0.136106E-02    0.141777E-04
  4     14       96           -64060.72462      -61058.99534    0.413879E-02    0.431124E-04
  4     15       96           -64060.73338      -61059.00410    0.580676E-02    0.604871E-04
  4     16      192           -64060.74358      -61059.01430    0.172312E-01    0.897459E-04
  4     17       48           -64060.73462      -61059.00534    0.304603E-02    0.634590E-04
  4     18       24           -64060.74005      -61059.01077    0.187914E-02    0.782973E-04
  4     19        8           -64060.70845      -61058.97917    0.184493E-03    0.230617E-04
  4     20        4           -64060.71469      -61058.98540    0.117416E-03    0.293540E-04
