        T             E               F          S             
     300.0     -64060.7547     -64060.9774  0.742289E-03
     873.0     -64060.7412     -64061.4154  0.772280E-03
    1273.0     -64060.7394     -64061.7246  0.773957E-03
    1673.0     -64060.7385     -64062.0343  0.774554E-03
  Infinite     -64060.7359         -        0.775333E-03
