
 ____________________________________________________________________________________________
 Temperature: T =    300.00000000000000      K
 Chemical potential: mu =   -750.43926838109940      eV
 Composition: x =   0.25000000003087003     

  n      m     omega(n,m)       E(n,m)          E-n*mu         prob(n,m,T)   prob(n,m,T)/omega    
  6     23      192           -65561.55311      -61058.91608    0.158830E-02    0.827242E-05
  6     24      192           -65561.57385      -61058.93682    0.354255E-02    0.184508E-04
  6     25      192           -65561.56475      -61058.92772    0.249169E-02    0.129775E-04
  6     26       96           -65561.58096      -61058.94393    0.233263E-02    0.242983E-04
  6     27      192           -65561.56031      -61058.92328    0.209856E-02    0.109300E-04
  6     28       96           -65561.53571      -61058.89868    0.405211E-03    0.422094E-05
  6     29      192           -65561.55869      -61058.92166    0.197086E-02    0.102649E-04
  6     30      192           -65561.55524      -61058.91821    0.172484E-02    0.898356E-05
  6     31      192           -65561.55868      -61058.92165    0.196995E-02    0.102602E-04
  6     32      192           -65561.56461      -61058.92758    0.247813E-02    0.129070E-04
  6     33       48           -65561.50632      -61058.86928    0.649785E-04    0.135372E-05
  6     34      192           -65561.52438      -61058.88735    0.522767E-03    0.272274E-05
  6     35       32           -65561.54198      -61058.90495    0.172144E-03    0.537949E-05
  6     36      192           -65561.51409      -61058.87706    0.351110E-03    0.182870E-05
  6     37       48           -65561.51811      -61058.88108    0.102538E-03    0.213620E-05
  6     38       96           -65561.51989      -61058.88286    0.219693E-03    0.228847E-05
  6     39       96           -65561.51745      -61058.88042    0.199952E-03    0.208284E-05
  6     40       96           -65561.52718      -61058.89015    0.291284E-03    0.303420E-05
  6     41       48           -65561.51654      -61058.87951    0.965182E-04    0.201080E-05
  6     42      192           -65561.54816      -61058.91113    0.131168E-02    0.683166E-05
  6     43       24           -65561.51377      -61058.87674    0.433522E-04    0.180634E-05
  6     44       96           -65561.52518      -61058.88815    0.269588E-03    0.280821E-05
  6     45      192           -65561.54372      -61058.90669    0.110447E-02    0.575246E-05
  6     46      192           -65561.55012      -61058.91309    0.141472E-02    0.736833E-05
  6     47       96           -65561.54490      -61058.90787    0.578161E-03    0.602251E-05
  6     48       96           -65561.55341      -61058.91638    0.803515E-03    0.836994E-05
  6     49       96           -65561.57079      -61058.93376    0.157373E-02    0.163931E-04
  6     50       48           -65561.53532      -61058.89829    0.199525E-03    0.415678E-05
  6     51       96           -65561.57028      -61058.93325    0.154323E-02    0.160753E-04
  6     52      192           -65561.57470      -61058.93767    0.366082E-02    0.190668E-04
  6     53       96           -65561.57929      -61058.94226    0.218671E-02    0.227783E-04
  6     54       48           -65561.57496      -61058.93793    0.924636E-03    0.192632E-04
  6     55      192           -65561.56311      -61058.92608    0.233871E-02    0.121808E-04
  6     56       96           -65561.57904      -61058.94201    0.216567E-02    0.225591E-04
  6     57       16           -65561.54741      -61058.91038    0.106173E-03    0.663580E-05
  6     58       48           -65561.51364      -61058.87661    0.862629E-04    0.179714E-05
  6     59       48           -65561.55833      -61058.92130    0.485883E-03    0.101226E-04
  6     60       96           -65561.60610      -61058.96907    0.616755E-02    0.642453E-04
  6     61      192           -65561.59742      -61058.96039    0.881572E-02    0.459152E-04
  6     62       96           -65561.62828      -61058.99125    0.145469E-01    0.151530E-03
  6     63       96           -65561.60348      -61058.96645    0.557247E-02    0.580466E-04
  6     64       48           -65561.61413      -61058.97710    0.420724E-02    0.876508E-04
  6     65       48           -65561.59121      -61058.95418    0.173330E-02    0.361105E-04
  7      1      192           -66311.94451      -61058.86644    0.232793E-03    0.121246E-05
  7      2       48           -66311.97842      -61058.90035    0.216084E-03    0.450176E-05
  7      3       96           -66311.94963      -61058.87156    0.141918E-03    0.147831E-05
  7      4       96           -66311.91560      -61058.83753    0.380444E-04    0.396296E-06
  7      5       48           -66311.91094      -61058.83286    0.158809E-04    0.330852E-06
  7      6       96           -66311.93192      -61058.85385    0.715245E-04    0.745046E-06
  7      7       96           -66311.96458      -61058.88651    0.253008E-03    0.263550E-05
  7      8      192           -66311.94323      -61058.86516    0.221565E-03    0.115398E-05
  7      9      192           -66311.96152      -61058.88345    0.449496E-03    0.234112E-05
  7     10      192           -66311.97454      -61058.89646    0.743764E-03    0.387377E-05
  7     11      192           -66311.98827      -61058.91020    0.126509E-02    0.658902E-05
