 Configuration with minimum energy:           35
 Configuration with maximum energy:           13

Temperature=    300.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1        96  0.100437E+00      0.0048      0.0000
         2       192  0.797810E-01      0.0213      0.0001
         3        48  0.884090E-01      0.0038      0.0001
         4       192  0.918530E-01      0.0133      0.0001
         5        96  0.747050E-01      0.0129      0.0001
         6       192  0.608300E-01      0.0443      0.0002
         7        96  0.644310E-01      0.0193      0.0002
         8        96  0.911920E-01      0.0068      0.0001
         9        96  0.486800E-01      0.0354      0.0004
        10       192  0.841750E-01      0.0179      0.0001
        11        96  0.531610E-01      0.0298      0.0003
        12        96  0.734650E-01      0.0136      0.0001
        13        48  0.111242E+00      0.0016      0.0000
        14        96  0.108907E+00      0.0034      0.0000
        15        96  0.103210E+00      0.0043      0.0000
        16       192  0.828490E-01      0.0189      0.0001
        17       192  0.705160E-01      0.0304      0.0002
        18       192  0.643780E-01      0.0386      0.0002
        19       192  0.616880E-01      0.0428      0.0002
        20       192  0.542080E-01      0.0572      0.0003
        21        96  0.650990E-01      0.0188      0.0002
        22        96  0.430320E-01      0.0441      0.0005
        23       192  0.811570E-01      0.0202      0.0001
        24       192  0.728940E-01      0.0278      0.0001
        25       192  0.535800E-01      0.0586      0.0003
        26       192  0.582800E-01      0.0489      0.0003
        27        96  0.754170E-01      0.0126      0.0001
        28        96  0.667660E-01      0.0176      0.0002
        29        96  0.985770E-01      0.0051      0.0001
        30        48  0.927670E-01      0.0032      0.0001
        31        48  0.852610E-01      0.0043      0.0001
        32        96  0.568380E-01      0.0258      0.0003
        33        96  0.544660E-01      0.0283      0.0003
        34        48  0.337620E-01      0.0315      0.0007
        35        96  0.000000E+00      0.2328      0.0024


Temperature=    873.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1        96  0.100437E+00      0.0143      0.0001
         2       192  0.797810E-01      0.0376      0.0002
         3        48  0.884090E-01      0.0084      0.0002
         4       192  0.918530E-01      0.0320      0.0002
         5        96  0.747050E-01      0.0201      0.0002
         6       192  0.608300E-01      0.0483      0.0003
         7        96  0.644310E-01      0.0230      0.0002
         8        96  0.911920E-01      0.0161      0.0002
         9        96  0.486800E-01      0.0284      0.0003
        10       192  0.841750E-01      0.0354      0.0002
        11        96  0.531610E-01      0.0267      0.0003
        12        96  0.734650E-01      0.0204      0.0002
        13        48  0.111242E+00      0.0062      0.0001
        14        96  0.108907E+00      0.0127      0.0001
        15        96  0.103210E+00      0.0138      0.0001
        16       192  0.828490E-01      0.0361      0.0002
        17       192  0.705160E-01      0.0425      0.0002
        18       192  0.643780E-01      0.0461      0.0002
        19       192  0.616880E-01      0.0478      0.0002
        20       192  0.542080E-01      0.0528      0.0003
        21        96  0.650990E-01      0.0228      0.0002
        22        96  0.430320E-01      0.0306      0.0003
        23       192  0.811570E-01      0.0369      0.0002
        24       192  0.728940E-01      0.0412      0.0002
        25       192  0.535800E-01      0.0532      0.0003
        26       192  0.582800E-01      0.0500      0.0003
        27        96  0.754170E-01      0.0199      0.0002
        28        96  0.667660E-01      0.0223      0.0002
        29        96  0.985770E-01      0.0146      0.0002
        30        48  0.927670E-01      0.0079      0.0002
        31        48  0.852610E-01      0.0087      0.0002
        32        96  0.568380E-01      0.0255      0.0003
        33        96  0.544660E-01      0.0263      0.0003
        34        48  0.337620E-01      0.0173      0.0004
        35        96  0.000000E+00      0.0542      0.0006


Temperature=   1273.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1        96  0.100437E+00      0.0165      0.0002
         2       192  0.797810E-01      0.0398      0.0002
         3        48  0.884090E-01      0.0092      0.0002
         4       192  0.918530E-01      0.0356      0.0002
         5        96  0.747050E-01      0.0208      0.0002
         6       192  0.608300E-01      0.0473      0.0002
         7        96  0.644310E-01      0.0229      0.0002
         8        96  0.911920E-01      0.0179      0.0002
         9        96  0.486800E-01      0.0264      0.0003
        10       192  0.841750E-01      0.0382      0.0002
        11        96  0.531610E-01      0.0254      0.0003
        12        96  0.734650E-01      0.0211      0.0002
        13        48  0.111242E+00      0.0075      0.0002
        14        96  0.108907E+00      0.0153      0.0002
        15        96  0.103210E+00      0.0161      0.0002
        16       192  0.828490E-01      0.0387      0.0002
        17       192  0.705160E-01      0.0433      0.0002
        18       192  0.643780E-01      0.0458      0.0002
        19       192  0.616880E-01      0.0469      0.0002
        20       192  0.542080E-01      0.0502      0.0003
        21        96  0.650990E-01      0.0227      0.0002
        22        96  0.430320E-01      0.0278      0.0003
        23       192  0.811570E-01      0.0393      0.0002
        24       192  0.728940E-01      0.0424      0.0002
        25       192  0.535800E-01      0.0505      0.0003
        26       192  0.582800E-01      0.0484      0.0003
        27        96  0.754170E-01      0.0207      0.0002
        28        96  0.667660E-01      0.0224      0.0002
        29        96  0.985770E-01      0.0168      0.0002
        30        48  0.927670E-01      0.0088      0.0002
        31        48  0.852610E-01      0.0095      0.0002
        32        96  0.568380E-01      0.0245      0.0003
        33        96  0.544660E-01      0.0251      0.0003
        34        48  0.337620E-01      0.0151      0.0003
