        T             E               F          S             
     300.0     -64811.1596     -64811.3634  0.679418E-03
     873.0     -64811.1428     -64811.7704  0.718910E-03
    1273.0     -64811.1408     -64812.0584  0.720793E-03
    1673.0     -64811.1399     -64812.3469  0.721453E-03
  Infinite     -64811.1371         -        0.722311E-03
