        T             E               F          S             
     473.0     -66312.0016     -66312.4362  0.918792E-03
     873.0     -66311.9901     -66312.8086  0.937552E-03
    1273.0     -66311.9860     -66313.1845  0.941511E-03
    1673.0     -66311.9839     -66313.5615  0.942958E-03
  Infinite     -66311.9775         -        0.944894E-03
