        T             E               F          S             
     300.0     -70064.1733     -70064.3925  0.730356E-03
     873.0     -70064.1549     -70064.8266  0.769430E-03
    1273.0     -70064.1516     -70065.1350  0.772520E-03
    1673.0     -70064.1499     -70065.4443  0.773695E-03
  Infinite     -70064.1443         -        0.775333E-03
