        T             E               F          S             
     473.0     -70814.6088     -70814.9164  0.650483E-03
     873.0     -70814.6023     -70815.1794  0.660968E-03
    1273.0     -70814.5999     -70815.4443  0.663295E-03
    1673.0     -70814.5987     -70815.7098  0.664166E-03
  Infinite     -70814.5946         -        0.665366E-03
