Structure,Energy,Nucleus,delta_iso
01,-64811.107322,Sn01,-660.0075930615831
01,-64811.107322,Sn02,-655.7247750837887
01,-64811.107322,Sn03,-655.7375416307655
01,-64811.107322,Sn04,-649.2883941671143
01,-64811.107322,Sn05,-648.806401718457
02,-64811.127978,Sn01,-660.6029173220008
02,-64811.127978,Sn02,-655.2927534336886
02,-64811.127978,Sn03,-655.0086395272656
02,-64811.127978,Sn04,-655.8292018105467
02,-64811.127978,Sn05,-655.6020566099824
03,-64811.119350,Sn01,-654.8781598667338
03,-64811.119350,Sn02,-654.8763988846176
03,-64811.119350,Sn03,-654.8765398962073
03,-64811.119350,Sn04,-654.8781951986125
03,-64811.119350,Sn05,-649.2765921982655
04,-64811.115906,Sn01,-661.1061290127413
04,-64811.115906,Sn02,-655.118488333997
04,-64811.115906,Sn03,-662.6149948755733
04,-64811.115906,Sn04,-655.5574740868665
04,-64811.115906,Sn05,-648.7669832900665
05,-64811.133054,Sn01,-661.3068989288631
05,-64811.133054,Sn02,-661.306971302608
05,-64811.133054,Sn03,-662.9425478719622
05,-64811.133054,Sn04,-655.8265821004074
05,-64811.133054,Sn05,-655.8265837257059
06,-64811.146929,Sn01,-652.9130506205256
06,-64811.146929,Sn02,-658.0083307929376
06,-64811.146929,Sn03,-649.3202746584193
06,-64811.146929,Sn04,-653.5360413106409
06,-64811.146929,Sn05,-656.4413755022933
07,-64811.143328,Sn01,-659.2800633052329
07,-64811.143328,Sn02,-659.2801965994872
07,-64811.143328,Sn03,-656.9961552352752
07,-64811.143328,Sn04,-654.5161343662594
07,-64811.143328,Sn05,-656.9962256672743
08,-64811.116567,Sn01,-660.7542533529772
08,-64811.116567,Sn02,-660.7544252488237
08,-64811.116567,Sn03,-655.3208545661237
08,-64811.116567,Sn04,-649.4782804954939
08,-64811.116567,Sn05,-655.3209676066808
09,-64811.159079,Sn01,-652.9002768046003
09,-64811.159079,Sn02,-652.4268811682005
09,-64811.159079,Sn03,-655.3663339128907
09,-64811.159079,Sn04,-655.3661825238951
09,-64811.159079,Sn05,-652.9003562529524
10,-64811.123584,Sn01,-661.9757728464947
10,-64811.123584,Sn02,-661.4384589351826
10,-64811.123584,Sn03,-655.5587105392751
10,-64811.123584,Sn04,-662.5101948056799
10,-64811.123584,Sn05,-655.7631012244397
11,-64811.154598,Sn01,-659.429041667715
11,-64811.154598,Sn02,-653.2035903938099
11,-64811.154598,Sn03,-655.6237751142589
11,-64811.154598,Sn04,-663.2518573629036
11,-64811.154598,Sn05,-653.2033406717728
12,-64811.134294,Sn01,-661.2200478644022
12,-64811.134294,Sn02,-655.6873131609823
12,-64811.134294,Sn03,-661.2198659593369
12,-64811.134294,Sn04,-662.8220119797879
12,-64811.134294,Sn05,-655.6864374356601
13,-64811.096517,Sn01,-662.7735617504691
13,-64811.096517,Sn02,-649.1593644445429
13,-64811.096517,Sn03,-655.4288917017166
13,-64811.096517,Sn04,-655.4282031197135
13,-64811.096517,Sn05,-649.1629818339293
14,-64811.098852,Sn01,-655.3605586793178
14,-64811.098852,Sn02,-654.9649206376089
14,-64811.098852,Sn03,-655.3604897374803
14,-64811.098852,Sn04,-654.9645509272191
14,-64811.098852,Sn05,-648.8179077201867
15,-64811.104549,Sn01,-656.3035061651744
15,-64811.104549,Sn02,-661.293421667378
15,-64811.104549,Sn03,-656.3035242051274
15,-64811.104549,Sn04,-661.2934775224685
15,-64811.104549,Sn05,-649.4061732180417
16,-64811.124910,Sn01,-661.953470286725
16,-64811.124910,Sn02,-661.7767940609829
16,-64811.124910,Sn03,-655.6367292355944
16,-64811.124910,Sn04,-648.8595053354506
16,-64811.124910,Sn05,-655.6892247646642
17,-64811.137243,Sn01,-659.6935924472996
17,-64811.137243,Sn02,-653.075372565524
17,-64811.137243,Sn03,-652.8699539821805
17,-64811.137243,Sn04,-649.60934070131
17,-64811.137243,Sn05,-655.6607928447529
18,-64811.143381,Sn01,-659.930832065188
18,-64811.143381,Sn02,-659.9372481909481
18,-64811.143381,Sn03,-654.0240275577776
18,-64811.143381,Sn04,-656.3464077727745
18,-64811.143381,Sn05,-656.1549290708126
19,-64811.146071,Sn01,-653.6675027119231
19,-64811.146071,Sn02,-658.6006670501756
19,-64811.146071,Sn03,-653.1383790508762
19,-64811.146071,Sn04,-656.1201665762014
19,-64811.146071,Sn05,-649.1546352859459
20,-64811.153551,Sn01,-659.2043036499322
20,-64811.153551,Sn02,-659.4269457562395
20,-64811.153551,Sn03,-656.7375750779024
20,-64811.153551,Sn04,-655.7929136909493
20,-64811.153551,Sn05,-653.8038344807755
21,-64811.142660,Sn01,-662.4149362469066
21,-64811.142660,Sn02,-661.9053101330173
21,-64811.142660,Sn03,-661.9047852515951
21,-64811.142660,Sn04,-655.5832564218417
21,-64811.142660,Sn05,-655.5838215408148
22,-64811.164727,Sn01,-657.3603825363402
22,-64811.164727,Sn02,-654.5517260138631
22,-64811.164727,Sn03,-654.5511187655657
22,-64811.164727,Sn04,-653.7500812349035
22,-64811.164727,Sn05,-653.7509268228596
23,-64811.126602,Sn01,-661.162786375894
23,-64811.126602,Sn02,-655.1552928393958
23,-64811.126602,Sn03,-655.6439463921042
23,-64811.126602,Sn04,-655.4171954532553
23,-64811.126602,Sn05,-655.9454312577445
24,-64811.134865,Sn01,-655.6331054761113
24,-64811.134865,Sn02,-655.4190441802011
24,-64811.134865,Sn03,-662.0075406275992
24,-64811.134865,Sn04,-655.8852334008079
24,-64811.134865,Sn05,-655.6173310521572
25,-64811.154179,Sn01,-653.7197316088163
25,-64811.154179,Sn02,-661.8287301820292
25,-64811.154179,Sn03,-653.0215773127416
25,-64811.154179,Sn04,-659.8931259962537
25,-64811.154179,Sn05,-656.1787415801464
26,-64811.149479,Sn01,-660.6757971453826
26,-64811.149479,Sn02,-663.3746721957605
26,-64811.149479,Sn03,-660.1884683215371
26,-64811.149479,Sn04,-663.2489477518266
26,-64811.149479,Sn05,-654.0821699539902
27,-64811.132342,Sn01,-662.4361814611011
27,-64811.132342,Sn02,-661.7598050015035
27,-64811.132342,Sn03,-661.7079102253083
27,-64811.132342,Sn04,-662.0075398049139
27,-64811.132342,Sn05,-649.5814473759542
28,-64811.140993,Sn01,-661.5275235184927
28,-64811.140993,Sn02,-655.6699610805458
28,-64811.140993,Sn03,-655.6705557163277
28,-64811.140993,Sn04,-661.6565927029947
28,-64811.140993,Sn05,-661.655784730628
29,-64811.109182,Sn01,-654.8579012223663
29,-64811.109182,Sn02,-648.3609775527175
29,-64811.109182,Sn03,-654.8576009926469
29,-64811.109182,Sn04,-649.1924014011138
29,-64811.109182,Sn05,-660.722391617639
30,-64811.114992,Sn01,-656.1373137609708
30,-64811.114992,Sn02,-656.1208270621642
30,-64811.114992,Sn03,-649.2739681582711
30,-64811.114992,Sn04,-649.2779488845481
30,-64811.114992,Sn05,-661.0052408786823
31,-64811.122498,Sn01,-662.859446614143
31,-64811.122498,Sn02,-662.8588541489694
31,-64811.122498,Sn03,-662.3681202191465
31,-64811.122498,Sn04,-649.2292472528161
